Innflutningur nokkurra vörutegunda eftir mánuðum 1999-2015

"Ár;""Vörutegund"";""Alls Einingar"";""Alls Tonn"";""Alls CIF í milljónum króna"""
"1999;""85  Sjónvarpstæki"";26512;536;516"
"1999;""85  Hljóðvarpstæki"";67174;215;369"
"2000;""85  Sjónvarpstæki"";32155;622;569"
"2000;""85  Hljóðvarpstæki"";75431;208;384"
"2001;""85  Sjónvarpstæki"";18574;343;457"
"2001;""85  Hljóðvarpstæki"";50263;143;289"
"2002;""85  Sjónvarpstæki"";20201;494;494"
"2002;""85  Hljóðvarpstæki"";46640;144;253"
"2003;""85  Sjónvarpstæki"";27854;635;567"
"2003;""85  Hljóðvarpstæki"";83106;176;280"
"2004;""85  Sjónvarpstæki"";35448;865;712"
"2004;""85  Hljóðvarpstæki"";83588;188;269"
"2005;""85  Sjónvarpstæki"";31753;746;926"
"2005;""85  Hljóðvarpstæki"";78102;187;279"
"2006;""85  Sjónvarpstæki"";33865;757;1579"
"2006;""85  Hljóðvarpstæki"";60676;168;306"
"2007;""85  Sjónvarpstæki"";33917;768;1829"
"2007;""85  Hljóðvarpstæki"";37835;90;168"
"2008;""85  Sjónvarpstæki"";20192;469;1361"
"2008;""85  Hljóðvarpstæki"";28228;58;143"
"2009;""85  Sjónvarpstæki"";14486;275;1061"
"2009;""85  Hljóðvarpstæki"";26939;40;122"
"2010;""85  Sjónvarpstæki"";21323;357;1290"
"2010;""85  Hljóðvarpstæki"";24307;45;135"
"2011;""85  Sjónvarpstæki"";24278;383;1489"
"2011;""85  Hljóðvarpstæki"";20646;33;114"
"2012;""85  Sjónvarpstæki"";22042;331;1489"
"2012;""85  Hljóðvarpstæki"";16234;23;106"
"2013;""85  Sjónvarpstæki"";21224;332;1507"
"2013;""85  Hljóðvarpstæki"";19823;22;115"
"2014;""85  Sjónvarpstæki"";21635;312;1295"
"2014;""85  Hljóðvarpstæki"";15083;26;105"
"2015;""85  Sjónvarpstæki"";33198;479;2083"
"2015;""85  Hljóðvarpstæki"";15822;25;113"
