,TotalSjónvörp,TotalHljóðvarpstæki,TotalUnits,SjonTotal%,HljodTotal%,Leading Import
1999,26512,67174,93686,28.299999999999997,71.7,Hljóðvarpstæki
2000,32155,75431,107586,29.9,70.1,Hljóðvarpstæki
2001,18574,50263,68837,27.0,73.0,Hljóðvarpstæki
2002,20201,46640,66841,30.2,69.8,Hljóðvarpstæki
2003,27854,83106,110960,25.1,74.9,Hljóðvarpstæki
2004,35448,83588,119036,29.799999999999997,70.19999999999999,Hljóðvarpstæki
2005,31753,78102,109855,28.9,71.1,Hljóðvarpstæki
2006,33865,60676,94541,35.8,64.2,Hljóðvarpstæki
2007,33917,37835,71752,47.3,52.7,Hljóðvarpstæki
2008,20192,28228,48420,41.699999999999996,58.3,Hljóðvarpstæki
2009,14486,26939,41425,35.0,65.0,Hljóðvarpstæki
2010,21323,24307,45630,46.7,53.300000000000004,Hljóðvarpstæki
2011,24278,20646,44924,54.0,46.0,Sjónvarpstæki
2012,22042,16234,38276,57.599999999999994,42.4,Sjónvarpstæki
2013,21224,19823,41047,51.7,48.3,Sjónvarpstæki
2014,21635,15083,36718,58.9,41.099999999999994,Sjónvarpstæki
2015,33198,15822,49020,67.7,32.300000000000004,Sjónvarpstæki
