"Vöruflokkar";"1999 Tonn";"1999 Cif verð milljónir króna";"1999 Hlutfall af heild";"2000 Tonn";"2000 Cif verð milljónir króna";"2000 Hlutfall af heild";"2001 Tonn";"2001 Cif verð milljónir króna";"2001 Hlutfall af heild";"2002 Tonn";"2002 Cif verð milljónir króna";"2002 Hlutfall af heild";"2003 Tonn";"2003 Cif verð milljónir króna";"2003 Hlutfall af heild";"2004 Tonn";"2004 Cif verð milljónir króna";"2004 Hlutfall af heild";"2005 Tonn";"2005 Cif verð milljónir króna";"2005 Hlutfall af heild";"2006 Tonn";"2006 Cif verð milljónir króna";"2006 Hlutfall af heild";"2007 Tonn";"2007 Cif verð milljónir króna";"2007 Hlutfall af heild";"2008 Tonn";"2008 Cif verð milljónir króna";"2008 Hlutfall af heild";"2009 Tonn";"2009 Cif verð milljónir króna";"2009 Hlutfall af heild";"2010 Tonn";"2010 Cif verð milljónir króna";"2010 Hlutfall af heild";"2011 Tonn";"2011 Cif verð milljónir króna";"2011 Hlutfall af heild";"2012 Tonn";"2012 Cif verð milljónir króna";"2012 Hlutfall af heild";"2013 Tonn";"2013 Cif verð milljónir króna";"2013 Hlutfall af heild";"2014 Tonn";"2014 Cif verð milljónir króna";"2014 Hlutfall af heild"
"Alls";2546206.4;182321.5;100.0;2806817.6;203222.1;100.0;2732689.3;220874.0;100.0;2794407.2;207607.5;100.0;2869849.2;216525.1;100.0;3213125.8;260430.8;100.0;3438151.5;313854.6;100.0;3873705.0;432106.3;100.0;4004521.3;429468.9;100.0;4582703.1;514739.3;100.0;3969551.7;446128.2;100.0;3946669.7;477222.3;100.0;3972396.1;561626.1;100.0;4070141.0;597262.2;100.0;4195691.5;583494.9;100.0;4528463.1;626915.1;100.0
"001 Lifandi dýr";5.9;16.2;0.0;3.0;9.5;0.0;4.2;17.2;0.0;5.1;21.0;0.0;5.1;24.5;0.0;11.2;35.8;0.0;7.2;31.0;0.0;7.7;35.1;0.0;21.2;65.2;0.0;7.9;42.9;0.0;6.8;47.4;0.0;9.1;55.0;0.0;15.0;106.1;0.0;8.9;76.2;0.0;10.9;94.1;0.0;20.6;93.8;0.0
"011 Nautgripakjöt";11.9;15.4;0.0;28.0;36.0;0.0;4.2;4.8;0.0;23.8;18.4;0.0;11.9;11.0;0.0;70.5;71.1;0.0;61.9;56.2;0.0;549.1;230.7;0.1;299.4;173.6;0.0;331.7;407.1;0.1;143.5;139.2;0.0;100.5;142.9;0.0;428.4;476.2;0.1;186.2;301.2;0.1;255.9;353.7;0.1;1036.8;912.1;0.1
"012 Annað kjöt og innmatur";15.5;10.0;0.0;41.1;24.3;0.0;26.0;24.7;0.0;101.5;65.8;0.0;76.7;61.5;0.0;130.9;86.4;0.0;112.6;82.4;0.0;183.2;107.1;0.0;463.3;232.9;0.1;634.3;377.8;0.1;413.6;304.3;0.1;460.9;310.4;0.1;892.9;551.4;0.1;811.9;504.4;0.1;1226.6;724.1;0.1;1454.2;810.0;0.1
"016 Kjöt, saltað, þurrkað, reykt";0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.8;0.8;0.0;4.7;7.8;0.0;9.1;13.6;0.0;21.1;23.1;0.0;124.0;82.9;0.0;129.0;91.0;0.0;47.6;59.9;0.0;13.4;34.5;0.0;16.9;41.9;0.0;38.8;70.1;0.0;83.0;99.9;0.0;112.7;145.5;0.0;137.8;157.7;0.0
"017 Kjöt og kjötvörur, ót.a.";82.3;39.8;0.0;84.1;39.8;0.0;69.0;39.2;0.0;95.9;51.7;0.0;84.9;42.4;0.0;77.5;42.0;0.0;111.5;54.1;0.0;110.1;56.5;0.0;173.9;90.2;0.0;184.8;120.1;0.0;142.1;133.9;0.0;120.8;116.5;0.0;171.6;168.0;0.0;208.1;200.9;0.0;221.5;240.7;0.0;249.8;268.4;0.0
"022 Mjólk rjómi og mjólkurvörur";183.2;44.9;0.0;513.6;75.1;0.0;363.4;87.2;0.0;226.0;62.6;0.0;231.8;77.2;0.0;214.2;69.7;0.0;204.0;70.8;0.0;234.3;84.1;0.0;266.8;91.2;0.0;172.9;76.6;0.0;109.4;65.1;0.0;136.0;74.8;0.0;176.7;103.3;0.0;215.7;134.4;0.0;252.4;169.3;0.0;246.5;161.5;0.0
"023 Smjör";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.6;2.1;0.0;0.5;0.3;0.0;0.1;0.0;0.0;0.0;0.1;0.0;0.1;0.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.1;0.1;0.0;89.0;65.0;0.0;0.1;0.3;0.0
"024 Ostur og ostahlaup";98.0;53.6;0.0;162.3;68.5;0.0;107.2;62.3;0.0;130.9;76.2;0.0;146.2;92.4;0.0;146.9;100.6;0.0;190.0;113.7;0.0;173.1;114.6;0.0;203.3;148.9;0.0;201.5;192.9;0.0;151.7;189.1;0.0;143.9;175.0;0.0;143.9;193.0;0.0;162.6;221.9;0.0;227.7;311.0;0.1;250.7;332.9;0.1
"025 Egg";70.0;23.7;0.0;103.1;36.1;0.0;71.2;30.0;0.0;44.3;28.7;0.0;68.1;26.4;0.0;65.0;36.8;0.0;176.9;44.2;0.0;261.3;71.7;0.0;243.5;67.7;0.0;212.2;100.1;0.0;100.7;83.5;0.0;113.7;88.1;0.0;99.8;83.2;0.0;106.1;106.7;0.0;220.1;138.7;0.0;188.7;122.2;0.0
