"Ár";"Vörutegund";"Alls Einingar";"Alls Tonn";"Alls CIF í milljónum króna"
"1999";"07  Kartöflur";0;491;17
"1999";"07  Grænmeti";0;6364;607
"1999";"08  Ávextir";0;12218;1224
"1999";"20  Ávextir niðursoðnir";0;1299;156
"1999";"09  Kaffi";0;2019;565
"1999";"10, 11  Kornvörur til manneldis";0;21814;493
"1999";"10, 11, 23  Fóðurvörur";0;53896;819
"1999";"17  Strásykur, molasykur";0;11134;262
"1999";"17, 18  Sælgæti";0;1996;674
"1999";"19  Kex, kökur, brauðvörur";0;3460;758
"1999";"24  Vindlingar";0;470;941
"1999";"24  Annað tóbak";0;61;178
"1999";"25  Salt (almennt)";0;88689;339
"1999";"28  Súrál";0;463691;6268
"1999";"27  Kol";0;60655;316
"1999";"27  Koks";0;27111;200
"1999";"27  Flugvélabensín";0;1246;28
"1999";"27  Annað bensín";0;147749;1894
"1999";"27  Þotueldsneyti";0;131340;1629
"1999";"27  Gasolía";0;402246;4236
"1999";"27  Brennsluolía";0;91042;632
"1999";"27  Smurolía, smurfeiti";0;6985;581
"1999";"40  Hjólbarðar nýir";0;2680;955
"1999";"40  Hjólbarðar notaðir";0;825;96
"1999";"44  Timbur";82333;50466;1518
"1999";"44  Krossviður";5344;3604;312
"1999";"44  Spóna­, byggingarplötur";0;15919;548
"1999";"48  Dagblaðapappír";0;8017;356
"1999";"48  Prent­ og skrifpappír";0;3277;261
"1999";"48  Kraftpappír, ­pappi";0;6104;235
"1999";"49  Bækur, blöð, tímarit";0;920;775
"1999";"33  Ilmvötn og snyrtivörur";0;1667;1528
"1999";"51  Ull";0;111;24
"1999";"57  Gólfteppi";0;618;224
"1999";"56  Fiskinet";0;935;688
"1999";"70  Rúðugler";0;3598;160
"1999";"72  Steypustyrktarjárn";0;16104;300
"1999";"72  Þakjárn";0;158;21
"1999";"73  Miðstöðvarofnar";0;849;120
"1999";"84  Kæli­ og frystitæki til heimilis";12356;625;282
"1999";"84  Þvottavélar";13738;759;317
"1999";"85  Sjónvarpstæki";26512;536;516
"1999";"85  Hljóðvarpstæki";67174;215;369
"1999";"87  Hjóladráttarvélar";327;1209;699
"1999";"87  Almenningsbílar";115;528;439
"1999";"87  Fólksbílar, þ.m.t. bílar með alhjóladrifi";17089;22336;13839
"1999";"87  Vöru- og sendibílar";1564;3969;2212
"1999";"87  Aðrir bílar";352;112;122
"1999";"87  Fjórhjól";13;4;5
"1999";"84, 87  Bílavarahlutir";0;1877;1840
"1999";"88  Flugvélar";6;70;3403
"1999";"89  Farskip, ferjur";2;113;44
"1999";"89  Fiskiskip";22;9186;4651
"1999";"89  Önnur skip";5;170;51
"2000";"07  Kartöflur";0;1032;29
"2000";"07  Grænmeti";0;6556;622
"2000";"08  Ávextir";0;12211;1172
"2000";"20  Ávextir niðursoðnir";0;1183;151
"2000";"09  Kaffi";0;2168;586
"2000";"10, 11  Kornvörur til manneldis";0;21284;523
"2000";"10, 11, 23  Fóðurvörur";0;59264;967
"2000";"17  Strásykur, molasykur";0;11464;262
"2000";"17, 18  Sælgæti";0;2031;651
"2000";"19  Kex, kökur, brauðvörur";0;3904;858
"2000";"24  Vindlingar";0;419;969
"2000";"24  Annað tóbak";0;52;118
"2000";"25  Salt (almennt)";0;104548;385
"2000";"28  Súrál";0;406011;7049
"2000";"27  Kol";0;100853;620
"2000";"27  Koks";0;46892;422
"2000";"27  Flugvélabensín";0;946;51
"2000";"27  Annað bensín";0;152476;3737
"2000";"27  Þotueldsneyti";0;146544;3423
"2000";"27  Gasolía";0;427912;8588
"2000";"27  Brennsluolía";0;64077;822
"2000";"27  Smurolía, smurfeiti";0;6691;584
"2000";"40  Hjólbarðar nýir";0;2975;958
"2000";"40  Hjólbarðar notaðir";0;914;91
"2000";"44  Timbur";88637;54419;1625
"2000";"44  Krossviður";6213;4143;334
"2000";"44  Spóna­, byggingarplötur";0;19021;589
"2000";"48  Dagblaðapappír";0;7974;345
"2000";"48  Prent­ og skrifpappír";0;2908;250
"2000";"48  Kraftpappír, ­pappi";0;3684;158
"2000";"49  Bækur, blöð, tímarit";0;834;807
"2000";"33  Ilmvötn og snyrtivörur";0;1659;1434
"2000";"51  Ull";0;83;19
"2000";"57  Gólfteppi";0;475;161
"2000";"56  Fiskinet";0;984;673
"2000";"70  Rúðugler";0;3713;166
"2000";"72  Steypustyrktarjárn";0;23821;470
"2000";"72  Þakjárn";0;77;7
"2000";"73  Miðstöðvarofnar";0;1047;153
"2000";"84  Kæli­ og frystitæki til heimilis";12597;647;276
"2000";"84  Þvottavélar";11432;659;270
"2000";"85  Sjónvarpstæki";32155;622;569
"2000";"85  Hljóðvarpstæki";75431;208;384
"2000";"87  Hjóladráttarvélar";292;1183;719
"2000";"87  Almenningsbílar";109;539;397
"2000";"87  Fólksbílar, þ.m.t. bílar með alhjóladrifi";14994;20358;12812
"2000";"87  Vöru- og sendibílar";1793;5086;2852
"2000";"87  Aðrir bílar";425;124;155
"2000";"87  Fjórhjól";44;11;15
"2000";"84, 87  Bílavarahlutir";0;1762;1790
"2000";"88  Flugvélar";9;71;3941
"2000";"89  Farskip, ferjur";2;371;47
"2000";"89  Fiskiskip";14;12116;5694
"2000";"89  Önnur skip";7;257;94
"2001";"07  Kartöflur";0;838;32
"2001";"07  Grænmeti";0;6828;809
"2001";"08  Ávextir";0;13216;1567
"2001";"20  Ávextir niðursoðnir";0;1137;174
"2001";"09  Kaffi";0;1971;583
"2001";"10, 11  Kornvörur til manneldis";0;22807;662
"2001";"10, 11, 23  Fóðurvörur";0;63274;1248
"2001";"17  Strásykur, molasykur";0;10635;351
"2001";"17, 18  Sælgæti";0;2016;765
"2001";"19  Kex, kökur, brauðvörur";0;4045;1028
"2001";"24  Vindlingar";0;404;1233
"2001";"24  Annað tóbak";0;42;132
"2001";"25  Salt (almennt)";0;95159;423
"2001";"28  Súrál";0;465372;9467
"2001";"27  Kol";0;97682;804
"2001";"27  Koks";0;41882;472
"2001";"27  Flugvélabensín";0;999;45
"2001";"27  Annað bensín";0;137916;3695
"2001";"27  Þotueldsneyti";0;116827;2879
"2001";"27  Gasolía";0;369193;8833
"2001";"27  Brennsluolía";0;77221;1345
"2001";"27  Smurolía, smurfeiti";0;5683;684
"2001";"40  Hjólbarðar nýir";0;2482;943
"2001";"40  Hjólbarðar notaðir";0;480;90
"2001";"44  Timbur";72777;44425;1669
"2001";"44  Krossviður";6009;3952;391
"2001";"44  Spóna­, byggingarplötur";0;16712;651
"2001";"48  Dagblaðapappír";0;7263;413
"2001";"48  Prent­ og skrifpappír";0;2935;295
"2001";"48  Kraftpappír, ­pappi";0;5641;276
"2001";"49  Bækur, blöð, tímarit";0;900;1010
"2001";"33  Ilmvötn og snyrtivörur";0;1327;1639
"2001";"51  Ull";0;105;26
"2001";"57  Gólfteppi";0;472;197
"2001";"56  Fiskinet";0;798;646
"2001";"70  Rúðugler";0;4183;239
"2001";"72  Steypustyrktarjárn";0;22399;492
"2001";"72  Þakjárn";0;11;1
"2001";"73  Miðstöðvarofnar";0;1175;207
"2001";"84  Kæli­ og frystitæki til heimilis";12040;615;318
"2001";"84  Þvottavélar";10733;598;290
"2001";"85  Sjónvarpstæki";18574;343;457
"2001";"85  Hljóðvarpstæki";50263;143;289
"2001";"87  Hjóladráttarvélar";146;593;431
"2001";"87  Almenningsbílar";47;325;309
"2001";"87  Fólksbílar, þ.m.t. bílar með alhjóladrifi";7716;10540;7865
"2001";"87  Vöru- og sendibílar";953;2587;1653
"2001";"87  Aðrir bílar";273;77;137
"2001";"87  Fjórhjól";40;11;18
"2001";"84, 87  Bílavarahlutir";0;1403;1712
"2001";"88  Flugvélar";5;95;6607
"2001";"89  Farskip, ferjur";2;199;76
"2001";"89  Fiskiskip";24;13861;6455
"2001";"89  Önnur skip";3;144;75
"2002";"07  Kartöflur";0;594;21
"2002";"07  Grænmeti";0;7354;957
"2002";"08  Ávextir";0;13581;1562
"2002";"20  Ávextir niðursoðnir";0;1432;214
"2002";"09  Kaffi";0;2131;558
"2002";"10, 11  Kornvörur til manneldis";0;24148;654
"2002";"10, 11, 23  Fóðurvörur";0;63248;1242
"2002";"17  Strásykur, molasykur";0;10998;320
"2002";"17, 18  Sælgæti";0;2028;761
"2002";"19  Kex, kökur, brauðvörur";0;4414;1079
"2002";"24  Vindlingar";0;473;1402
"2002";"24  Annað tóbak";0;67;174
"2002";"25  Salt (almennt)";0;87271;375
"2002";"28  Súrál";0;524230;9089
"2002";"27  Kol";0;98314;798
"2002";"27  Koks";0;47767;497
"2002";"27  Flugvélabensín";0;476;15
"2002";"27  Annað bensín";0;145014;3431
"2002";"27  Þotueldsneyti";0;105471;2326
"2002";"27  Gasolía";0;387163;7821
"2002";"27  Brennsluolía";0;93163;1477
"2002";"27  Smurolía, smurfeiti";0;5975;663
"2002";"40  Hjólbarðar nýir";0;2392;893
"2002";"40  Hjólbarðar notaðir";0;511;93
"2002";"44  Timbur";71071;43526;1637
"2002";"44  Krossviður";5629;3641;342
"2002";"44  Spóna­, byggingarplötur";0;13678;545
"2002";"48  Dagblaðapappír";0;7890;497
"2002";"48  Prent­ og skrifpappír";0;3244;295
"2002";"48  Kraftpappír, ­pappi";0;6299;298
"2002";"49  Bækur, blöð, tímarit";0;854;917
"2002";"33  Ilmvötn og snyrtivörur";0;1429;1598
"2002";"51  Ull";0;82;24
"2002";"57  Gólfteppi";0;772;174
"2002";"56  Fiskinet";0;943;698
"2002";"70  Rúðugler";0;3418;193
"2002";"72  Steypustyrktarjárn";0;13009;290
"2002";"72  Þakjárn";0;100;9
"2002";"73  Miðstöðvarofnar";0;841;157
